date,open,high,low,close,volume,barCount,average,MACD,MACD_Signal,MACD_Hist,K,D,J,EMA_12,EMA_26,MA_10,MA_20,MA_200,BB_Upper,BB_Middle,BB_Lower
2019-01-02 18:00:00,2508.0,2521.25,2452.25,2490.0,1913881,507864,2495.0,-61.622940257457685,-61.15023171806202,-0.4727085393956685,63.33990780535796,57.808398316200744,74.40292678367238,2508.0148408923596,2569.584411374829,2473.025,2560.9625,,2865.064568794473,2652.84,2440.6154312055273
2019-01-03 18:00:00,2482.25,2493.5,2443.25,2451.75,2196872,544179,2466.75,-61.542383974245695,-61.22866216929875,-0.3137218049469439,66.0506977127964,62.99268377082425,72.1667255967407,2499.3587115243045,2560.855936458175,2465.0,2548.375,,2864.765483907464,2646.955,2429.144516092536
2019-01-04 18:00:00,2451.75,2539.25,2438.5,2529.5,2266370,522246,2509.25,-54.575653165754375,-59.898060368589874,5.3224072028355,74.67176742469697,68.02079098095045,87.97372031219001,2503.995832828258,2558.53327449831,2467.625,2538.8625,,2864.1624712504868,2644.05,2423.9375287495136
2019-01-07 18:00:00,2537.25,2567.5,2523.25,2553.75,1577906,359913,2546.75,-46.56097058741261,-57.23064241235442,10.669671824941808,85.19632454352627,75.30626322700657,104.9764471765657,2511.650320085449,2558.178957868806,2474.225,2531.7125,,2862.7720094248443,2641.495,2420.2179905751555
2019-01-08 18:00:00,2553.25,2581.25,2547.5,2569.75,1619121,350983,2566.0,-38.47469824725931,-53.4794535793354,15.004755332076087,95.26220069635747,85.04343088819358,115.69974031268524,2520.5887323799952,2559.036072100746,2489.075,2528.275,,2861.742165447916,2639.645,2417.547834552084
2019-01-09 18:00:00,2569.5,2596.75,2568.5,2581.75,1534998,345685,2585.0,-30.743576633210978,-48.932278190110516,18.188701556899538,94.21974594252079,91.55942372746819,99.540390372626,2529.9981581676884,2560.7185852784687,2513.05,2525.2,,2861.1780320089188,2638.49,2415.801967991081
2019-01-10 18:00:00,2580.0,2599.5,2560.5,2594.5,1468658,307551,2581.25,-23.31898190273705,-43.80961893263582,20.49063702989877,95.01239903912408,94.83144855933413,95.37429999870395,2539.9215184495824,2563.2209122948784,2525.7,2523.25,,2859.116000312312,2636.585,2414.0539996876882
2019-01-11 18:00:00,2594.0,2597.75,2577.0,2595.5,1149116,234194,2588.75,-17.156476266009577,-38.478990399310575,21.322514133301,95.6335170515383,94.95522067772775,96.9901097991594,2548.4720540727235,2565.611955828591,2536.325,2520.375,,2856.298573556307,2634.375,2412.451426443693
2019-01-14 18:00:00,2588.5,2592.0,2567.25,2581.5,1158037,223759,2581.25,-13.249596051867229,-33.43311152982191,20.18351547795468,94.4099378881401,95.0186179929342,93.19257767855191,2553.5532765230737,2566.788847989436,2545.675,2517.125,,2851.875476082014,2631.325,2410.774523917986
2019-01-15 18:00:00,2581.5,2613.75,2580.0,2605.75,1486855,290271,2600.25,-8.103184533073545,-28.367126130472236,20.26394159739869,93.9234988170723,94.65565125225027,92.45919394671637,2561.58354167337,2569.674859249478,2555.375,2517.475,,2848.0972787472024,2628.99,2409.882721252797
